Supplementary Data 1. Catalog of the 722 canids genomes
Name_ID_Study	Name_ID_SRA	Breed/CommonName	BioProject	BioSample	Sex	CoverageAll	CoverageX	CoverageRatio	AnalysisName_Phylo	Phylo_Results	Phylo_Bootstrap	Phylo_Notes	Genotyped on Illumina canine HD array	Used to do WGS/SNP chip comparison	Other_Information
Belgian Sheepdog 3	BelgianSheepdog03	Belgian Sheepdog	PRJNA448733	SAMN08872844	F	20.019100000000002	20.416499999999999	0.98053535130899039	Belgian Sheepdog 3	Belgian Sheepdog/Tervuren	100		yes		
Belgian Sheepdog 4	BelgianSheepdog04	Belgian Sheepdog	PRJNA448733	SAMN08872845	F	14.630800000000001	14.922700000000001	0.9804391966601218	Belgian Sheepdog 4	Belgian Sheepdog/Tervuren	100		yes		
Belgian Sheepdog 5	BelgianSheepdog05	Belgian Sheepdog	PRJNA448733	SAMN08872846	M	16.1601	9.1005199999999995	1.7757336943383455	Belgian Sheepdog 5	Belgian Sheepdog/Tervuren	100		yes		
Belgian Sheepdog 6	BelgianSheepdog06	Belgian Sheepdog	PRJNA448733	SAMN08872847	M	23.139900000000001	13.1195	1.7637791074354967	Belgian Sheepdog 6	Belgian Sheepdog/Tervuren	100		yes		
Belgian Sheepdog 7	BelgianSheepdog07	Belgian Sheepdog	PRJNA448733	SAMN08872848	F	13.6036	13.87	0.98079307858687825	Belgian Sheepdog 7	Belgian Sheepdog/Tervuren	100		yes		
Belgian Tervuren 1	BelgianTervuren01	Belgian Tervuren	PRJNA448733	SAMN08872849	F	37.490299999999998	38.084899999999998	0.98438751316138418	Belgian Tervuren 1	Belgian Sheepdog/Tervuren	100		yes	yes	
Belgian Tervuren 2	BelgianTervuren02	Belgian Tervuren	PRJNA448733	SAMN08872850	M	14.5738	8.2635900000000007	1.7636160554916203	Belgian Tervuren 2	Belgian Sheepdog/Tervuren	100		yes		
Belgian Tervuren 3	BelgianTervuren03	Belgian Tervuren	PRJNA448733	SAMN08872851	F	12.2446	12.5646	0.97453162058481768	Belgian Tervuren 3	Belgian Sheepdog/Tervuren	100		yes		
Belgian Tervuren 4	BelgianTervuren05	Belgian Tervuren	PRJNA448733	SAMN08872852	F	19.683599999999998	19.8996	0.98914551046252186	Belgian Tervuren 4	Belgian Sheepdog/Tervuren	100		yes		
Belgian Tervuren 5	BelgianTervuren06	Belgian Tervuren	PRJNA448733	SAMN08872853	M	16.7271	9.4582300000000004	1.7685232860693807	Belgian Tervuren 5	Belgian Sheepdog/Tervuren	100		yes		
Belgian Tervuren 6	BelgianTervuren07	Belgian Tervuren	PRJNA448733	SAMN08872854	F	15.6921	16.052299999999999	0.97756084797817144	Belgian Tervuren 6	Belgian Sheepdog/Tervuren	100		yes		
Belgian Tervuren 7	BelgianTervuren08	Belgian Tervuren	PRJNA448733	SAMN08872855	M	16.033000000000001	9.0322099999999992	1.7750915888802412	Belgian Tervuren 7	Belgian Sheepdog/Tervuren	100		yes		
Belgian Tervuren 8	BelgianTervuren09	Belgian Tervuren	PRJNA448733	SAMN08872856	M	15.959899999999999	8.9986200000000007	1.773594173328799	Belgian Tervuren 8	Belgian Sheepdog/Tervuren	100		yes		
Belgian Tervuren 9	BelgianTervuren10	Belgian Tervuren	PRJNA448733	SAMN08872857	F	16.962	17.294599999999999	0.98076856359788611	Belgian Tervuren 9	Belgian Sheepdog/Tervuren	100		yes		
