Name	Breed	BioProject	BioSample	Category
Village Dog - Taiwan	Village Dog - Taiwan	PRJNA232497	SAMN02485608	village
Village Dog - Vietnam 1	Village Dog - Vietnam	PRJNA232497	SAMN02485609	village
Village Dog - Vietnam 2	Village Dog - Vietnam	PRJNA232497	SAMN02485610	village
Village Dog - Vietnam 3	Village Dog - Vietnam	PRJNA232497	SAMN02485611	village
Village Dog - Vietnam 4	Village Dog - Vietnam	PRJNA232497	SAMN02485612	village
Village Dog - Vietnam 5	Village Dog - Vietnam	PRJNA232497	SAMN02485613	village
Village Dog - Vietnam 6	Village Dog - Vietnam	PRJNA232497	SAMN02485614	village
Wolf 1	Wolf	PRJNA331222	SAMN05439956	wild
Wolf 2	Wolf	PRJNA331222	SAMN05791669	wild
Wolf 3	Wolf	PRJNA331222	SAMN05791668	wild
Wolf 4	Wolf	PRJNA331222	SAMN05736724	wild
Wolf 5	Wolf	PRJEB16012	SAMEA104091563	wild
Wolf 6	Wolf	PRJEB16012	SAMEA104091564	wild
Wolf 7	Wolf	PRJEB16012	SAMEA104091565	wild
Wolf 8	Wolf	PRJNA299506	SAMN04209256	wild
Wolf 9	Wolf	PRJNA361023	SAMN06219538	wild
Wolf 10	Wolf	PRJNA361023	SAMN06219539	wild
